Subject,Condition,ListNum,Block,Direction,Jol
37,A,1,1,F,34
37,A,2,1,F,80
37,A,3,1,F,79
37,A,4,1,F,34
37,A,5,1,F,67
37,A,6,1,F,90
37,A,7,1,F,80
37,A,8,1,F,78
37,A,9,1,F,45
37,A,10,1,F,89
37,A,11,1,F,70
37,A,12,1,F,78
37,A,13,1,F,78
37,A,14,1,F,69
37,A,15,1,F,88
37,A,16,1,F,95
37,A,17,1,F,78
37,A,18,1,F,100
37,A,19,1,F,67
37,A,20,1,F,89
37,A,21,1,B,78
37,A,22,1,B,79
37,A,23,1,B,98
37,A,24,1,B,34
37,A,25,1,B,76
37,A,26,1,B,75
37,A,27,1,B,68
37,A,28,1,B,79
37,A,29,1,B,37
37,A,30,1,B,67
37,A,31,1,B,56
37,A,32,1,B,90
37,A,33,1,B,23
37,A,34,1,B,37
37,A,35,1,B,56
37,A,36,1,B,78
37,A,37,1,B,23
37,A,38,1,B,69
37,A,39,1,B,70
37,A,40,1,B,77
37,A,41,1,S,88
37,A,42,1,S,98
37,A,43,1,S,90
37,A,44,1,S,79
37,A,45,1,S,90
37,A,46,1,S,7
37,A,47,1,S,89
37,A,48,1,S,90
37,A,49,1,S,98
37,A,50,1,S,70
37,A,51,1,S,80
37,A,52,1,S,45
37,A,53,1,S,89
37,A,54,1,S,35
37,A,55,1,S,80
37,A,56,1,S,100
37,A,57,1,S,78
37,A,58,1,S,98
37,A,59,1,S,80
37,A,60,1,S,70
37,A,61,1,U,45
37,A,62,1,U,45
37,A,63,1,U,23
37,A,64,1,U,23
37,A,65,1,U,45
37,A,66,1,U,22
37,A,67,1,U,42
37,A,68,1,U,23
37,A,69,1,U,34
37,A,70,1,U,12
37,A,71,1,U,12
37,A,72,1,U,45
37,A,73,1,U,12
37,A,74,1,U,25
37,A,75,1,U,23
37,A,76,1,U,50
37,A,77,1,U,23
37,A,78,1,U,45
37,A,79,1,U,12
37,A,80,1,U,45
49,A,1,1,F,20
49,A,2,1,F,100
49,A,3,1,F,78
49,A,4,1,F,80
49,A,5,1,F,100
49,A,6,1,F,100
49,A,7,1,F,100
49,A,8,1,F,100
49,A,9,1,F,100
49,A,10,1,F,100
49,A,11,1,F,30
49,A,12,1,F,78
49,A,13,1,F,100
49,A,14,1,F,100
49,A,15,1,F,100
49,A,16,1,F,100
49,A,17,1,F,100
49,A,18,1,F,60
49,A,19,1,F,100
49,A,20,1,F,100
49,A,21,1,B,89
49,A,22,1,B,100
49,A,23,1,B,90
49,A,24,1,B,100
49,A,25,1,B,100
49,A,26,1,B,100
49,A,27,1,B,100
49,A,28,1,B,0
49,A,29,1,B,100
49,A,30,1,B,100
49,A,31,1,B,60
49,A,32,1,B,89
49,A,33,1,B,100
49,A,34,1,B,90
49,A,35,1,B,100
49,A,36,1,B,100
49,A,37,1,B,100
49,A,38,1,B,100
49,A,39,1,B,100
49,A,40,1,B,25
49,A,41,1,S,100
49,A,42,1,S,100
49,A,43,1,S,100
49,A,44,1,S,100
49,A,45,1,S,100
49,A,46,1,S,45
49,A,47,1,S,75
49,A,48,1,S,90
49,A,49,1,S,100
49,A,50,1,S,100
49,A,51,1,S,100
49,A,52,1,S,100
49,A,53,1,S,100
49,A,54,1,S,100
49,A,55,1,S,100
